frame,timestamp_s,label,x1,y1,x2,y2,conf
570,18.967,None,289,238,319,319,0.718
571,19.033,None,19,55,119,314,0.930
572,19.033,None,289,238,319,319,0.709
573,19.033,couch,0,253,31,319,0.375
574,19.133,None,16,56,125,311,0.925
575,19.133,None,289,237,319,319,0.711
576,19.133,chair,0,253,33,319,0.417
577,19.233,None,11,57,135,317,0.930
578,19.233,None,289,237,319,319,0.688
579,19.233,chair,0,254,34,319,0.525
580,19.233,chair,172,263,212,319,0.360
581,19.367,None,9,56,143,315,0.931
582,19.367,None,288,234,319,319,0.671
583,19.367,chair,0,254,37,319,0.560
584,19.367,chair,164,262,211,319,0.397
585,19.367,chair,171,263,212,319,0.397
586,19.533,None,10,54,148,314,0.932
587,19.533,None,288,229,319,319,0.661
588,19.533,chair,0,254,38,319,0.461
589,19.533,chair,172,263,212,319,0.396
590,19.533,chair,165,263,211,319,0.350
591,19.700,None,12,52,153,312,0.932
592,19.700,None,288,223,319,319,0.673
593,19.700,chair,0,254,36,319,0.585
594,19.700,chair,171,262,211,319,0.410
595,19.700,chair,164,262,210,319,0.370
596,19.867,None,14,50,177,316,0.946
597,19.867,None,288,216,319,319,0.740
598,19.867,chair,0,254,36,319,0.570
599,19.867,chair,163,262,210,319,0.420
600,19.867,chair,171,262,212,319,0.398
601,20.033,None,18,47,176,316,0.946
602,20.033,None,288,208,319,319,0.752
603,20.033,chair,0,254,36,319,0.613
604,20.033,chair,164,262,210,319,0.385
605,20.033,chair,171,262,211,319,0.383
606,20.200,None,22,45,178,311,0.948
607,20.200,None,288,202,319,319,0.753
608,20.200,chair,0,254,36,319,0.609
609,20.200,chair,163,262,210,320,0.456
610,20.200,chair,170,262,211,319,0.419
611,20.367,None,26,45,176,309,0.953
612,20.367,None,289,195,319,320,0.641
613,20.367,chair,0,254,37,319,0.612
614,20.367,chair,163,262,211,319,0.457
615,20.367,chair,170,263,212,319,0.429
616,20.367,chair,265,263,295,319,0.355
617,20.567,None,29,46,175,309,0.951
618,20.567,chair,0,254,36,319,0.559
619,20.567,chair,164,262,211,319,0.426
620,20.567,chair,171,263,212,319,0.415
621,20.567,None,289,135,320,320,0.359
622,20.733,None,29,47,175,308,0.953
623,20.733,chair,0,255,36,319,0.586
624,20.733,None,288,134,320,320,0.546
625,20.733,chair,172,263,212,319,0.401
626,20.733,chair,265,263,295,319,0.364
627,20.733,chair,165,262,210,319,0.361
628,20.933,None,29,51,173,308,0.951
629,20.933,chair,0,254,36,319,0.596
630,20.933,None,288,132,319,320,0.520
631,20.933,chair,173,263,212,319,0.370
632,21.067,None,28,55,172,308,0.949
633,21.067,None,286,130,319,319,0.631
634,21.067,chair,0,254,36,319,0.558
635,21.067,chair,164,262,211,319,0.370
636,21.200,None,26,59,172,308,0.946
637,21.200,None,280,131,319,319,0.843
638,21.200,chair,0,254,36,319,0.558
639,21.200,chair,163,262,211,319,0.388
640,21.333,None,24,63,175,308,0.950
641,21.333,None,277,131,319,319,0.871
642,21.333,chair,0,254,36,319,0.577
643,21.333,chair,162,262,211,319,0.381
644,21.467,None,19,65,176,308,0.948
645,21.467,None,271,131,319,319,0.876
646,21.467,chair,0,254,36,319,0.575
647,21.467,chair,162,262,211,319,0.365
648,21.600,None,16,64,182,307,0.945
649,21.600,None,270,132,319,319,0.884
650,21.600,chair,0,254,36,319,0.562
651,21.700,None,13,61,186,307,0.948
652,21.700,None,267,133,319,319,0.865
653,21.700,chair,0,254,36,319,0.541
654,21.700,None,267,135,319,319,0.394
655,21.700,couch,0,254,36,319,0.351
656,21.867,None,11,58,189,306,0.926
657,21.867,None,265,133,319,320,0.867
658,21.867,chair,0,254,36,319,0.541
659,21.867,chair,163,262,211,319,0.362
660,21.867,None,265,133,319,319,0.356
661,22.033,None,8,54,186,305,0.942
662,22.033,None,264,132,319,320,0.890
663,22.033,chair,0,254,36,319,0.584
664,22.033,chair,173,262,212,319,0.364
665,22.167,None,11,52,181,306,0.947
666,22.167,None,262,129,319,320,0.896
667,22.167,chair,0,254,36,319,0.586
668,22.167,chair,173,263,212,319,0.398
669,22.300,None,20,51,179,306,0.936
670,22.300,None,259,126,319,320,0.896
671,22.300,chair,0,254,36,319,0.572
672,22.300,chair,173,263,212,319,0.399
673,22.433,None,24,52,169,306,0.919
674,22.433,None,257,120,319,320,0.891
675,22.433,chair,0,254,36,319,0.629
676,22.433,chair,173,263,212,319,0.391
677,22.567,None,31,53,151,305,0.931
678,22.567,None,256,112,319,320,0.891
679,22.567,chair,0,254,36,319,0.597
680,22.667,None,35,56,150,305,0.907
681,22.667,None,256,102,319,319,0.903
682,22.667,chair,0,254,36,318,0.589
683,22.767,None,42,60,142,306,0.913
